"","V1","V2","V3","V4","V5","V6"
"580",116,206,4,3,0,6
"581",101,215,2,4,0,12
"582",101,183,0,0,0,4
"583",38,120,0,1,0,2
"584",30,86,0,1,0,2
"585",15,68,0,0,0,3
"586",10,40,0,0,0,1
"587",2,28,0,0,0,0
"588",4,13,0,0,0,0
"589",5,0,0,0,0,0
"590",59,453,2,7,0,35
"591",64,359,1,2,0,30
"592",63,356,3,4,0,34
"593",62,418,3,1,2,14
"594",69,220,3,4,2,11
"595",53,180,1,4,0,6
"596",86,176,2,4,0,10
"597",89,153,1,3,0,6
"598",81,193,3,5,0,6
"599",111,196,2,4,0,8
"600",74,158,2,6,0,12
"601",50,132,0,0,0,2
"602",38,98,0,2,0,3
"603",11,68,0,2,0,3
"604",8,67,0,0,0,3
"605",3,58,0,0,0,1
"606",5,31,0,0,0,0
"607",0,21,0,0,0,0
"608",4,10,0,6,1,1
"609",47,273,4,18,3,50
"610",35,250,2,9,3,39
"611",27,260,2,6,6,23
"612",55,274,2,20,3,26
"613",43,166,4,9,3,15
"614",49,114,6,5,5,8
"615",51,108,4,8,1,4
"616",64,112,1,13,1,5
"617",92,167,3,19,2,8
"618",108,136,4,14,2,6
"619",80,129,8,16,1,4
"620",53,115,6,14,0,2
"621",16,96,3,9,0,2
"622",1,66,1,2,0,1
"623",0,44,0,1,0,2
"624",0,26,0,1,0,2
"625",0,12,0,0,0,0
"626",0,9,0,0,0,0
"627",1,0,0,0,0,0
"628",32,288,1,21,1,39
"629",29,210,1,11,2,42
"630",36,241,0,8,5,32
"631",53,280,1,22,3,25
"632",58,162,2,12,2,9
"633",43,120,1,9,4,11
"634",41,103,1,9,1,7
"635",47,109,1,16,1,7
"636",61,161,1,20,2,10
"637",75,128,2,21,1,10
"638",75,105,3,23,1,4
"639",34,83,2,17,0,2
"640",5,80,0,7,0,2
"641",1,56,1,2,0,2
"642",4,45,0,1,0,2
"643",2,30,0,1,0,2
"644",0,20,0,0,0,0
"645",0,13,0,0,0,0
"646",3,7,0,0,0,1
"647",27,378,0,7,0,33
"648",17,361,0,4,0,21
"649",24,317,1,3,0,16
"650",39,395,0,1,0,16
"651",34,204,1,2,1,7
"652",36,160,6,2,0,7
"653",48,141,2,3,0,7
"654",61,149,2,4,0,7
"655",84,169,3,2,0,2
"656",86,135,1,5,0,2
"657",84,129,3,3,0,5
"658",50,114,4,0,0,2
"659",15,78,0,2,3,1
"660",17,65,0,1,0,1
